darija_ar,translated_eng
ماكايعنيش بلي كاتخدام بزاف,Don't think you work hard
أُه شوكران.,Oh thank you.
موتاألّيق,it's perfect
كايبكي,He cried
مانا,meaning
أه,Yes
كاندير حتّا الراقص,I can dance too
علّ أقالّ ماشي شي ناوع من لحايات لي نقدرو نعرفو,At least there's nothing special about life we can know about
باراكا,Thank you
"ڭالت ليك, أنا مابغيتش نطيّب توما!","I told you, I don't want to talk about Tom!"
كولشي واجد,everything is ready
عندي عادا ديال النعاس بزّاف,I have a lot of sleep habits
"أه, سيلسيلا لغيداإا.","Yes, I'm fine."
بقا تديرو ديما,you always do
هوكّا,That's right
فاش كنتي كاتفكّر?,What were you thinking?
عضّو حنش مسموم,the organ is poisonous
ناري! لحيط كايتحرّك,Fire! the wall is moving
"سباه, معا تمانيا أُ ناس","Hey, it's eight people"
أه داروري.,"Yes, I do."
تعطّلت علا لخدما بسباب ل إضرابات.,I was interrupted by the work because of strikes.
بصّح غادي نامشي,I'm really going to go
هادشي ماساهلش بزّاف,It's a lot of fun
والاكين سماعت شي سضاع,But I heard a clock
شفر لييّا لبزطام,He gave me the bathroom
كاتقرا علا قبل متيحاناتها,She reads about her experiences
ڭلب ستّا تسعود,I'm getting six and nine
لايخلّيك كتبها,I'll leave it for you
كانعيش حياتي,I live my life
ماشربتش لقهوا ليوم,I drank coffee today
كولّا ليلا,every night
غاينتاهي بينا لماتاف فحايات بنادم,We'll have to finish the whole thing
كانتمانا ماتكونش مقالاق من هادشي,I hope you don't get bored by that
عوقباليك,I'm sorry
إنتاج پك أُ إپاد تاهوا مولاويت بزاف,The production of sugar and sugar is very expensive
مامتءكدش واش باغي نخروج ولا لا,I'm not sure if I want to go out or not
فكّرني ف لحفلا لي دوّزنا لعام ليفات,I remember the last year of our wedding party
حدا سوپرمارشي,near the supermarket
موعاد كايتفرّج ف فيلم,he is watching a movie
عاود عافاك,back please
هانيا,hello
عندك نوطق زوين,You have a good accent
جداتها عتاتها واحد لبراسلت,Her grandmother gave her a bottle of beer
علاش هادشي?,Why is that?
كانسكن حدا لبحر,I live by the sea
فيا لعطش,I'm thirsty
واش خليتي شوييا ديال نابيد ولا كمّلتي لقارعا?,Did you drink a little alcohol or did you say a word?
"غادي نهدار معا سحابي تلخدما, ياقدار يكون عند شي واحاد شي حاجا ياحتافال بيها","I'll spend my time with my friends working, maybe there's something to celebrate"
"ماكليتيهش, ياك?","You didn't eat it, did you?"
هادشي معقول,That's reasonable
هووا لحاياوان ديالك!,He's your animal!
واش هوما كيفكيف?,How are they doing?
"غايخسّ تخلّينا نوسلو لواد, أُ راه لواد دايز من ل ڤيلاج","He's going to let us sleep, and he's the last man from the village"
"شحال و أنا كانجرب نشرب كتر ديال لما, والاكين ماقدرتش نحييد لقهوا","I try to drink more water, but I can't avoid coffee"
غاير ماسبوق,It's not expensive
مابغيتوش,I don't want it
أش عانداك علا ضاغط?,What's your problem with stress?
أُنتا أ سيدي?,Are you a boss?
كيفاش كاتهالّا فراسّك ?,How are you getting your feet wet?
معا طالابا خرين,with a good student
"لا, أنا ماشي بيخير.","No, I'm not fine."
عاندي شوييا ديال حالوا خاتميا فشكارا ديالي,I have a little bit of a feeling in my face
تفول بحالا كنا فعالمنا بوحدنا,We've been alone
كاتستاحقّها.,You deserve it.
شويكّيك,a little cake
راه فاريق ديال ريڭبي كايحتافلو برباح ديالهوم,It's a great festival celebrating their successes
أيه أ مولاي,what a mother
جيت ف طوموبيل ليوما باش نتفادا طوبيسات.,I came by car today to pick up the buses.
هيا كبر منّي,He's older than me
التالتا تابتا,the third is falling
كايابن ليا بلي لفارمليات كايديرو صافّ!,It seems to me that the farmers are doing it clean!
توم كان مءزم,Tom was a man
كنت ف أروپّا كاملا,I've been all over Europe
نتا غي طبّاخ سغر أُحسّن ليك تفكرها,You're a small cook and it's better to remember it
أُ من بعد كانواعدك أنخلّيك علا راحتك أُ نمشيو غدّا نتمشّاو غير شويا.,And then I'll give you a lift and go for a walk tomorrow.
راه أنا ماشي بوحدي,I'm not alone
لملحا ضارورييّا ف الطياب,The salt is essential in cooking
عاون راسّك,I'll look at your head
فيق!,Get up!
برابّي,I'm right
عجبك لكتاب?,do you like books?
أهلان نجيب ليك شي حاجة?,Can I get you anything?
"لا, راه شفت كولشي.","No, he's seen everything."
واش غسل وجهو?,Did you wash his face?
جبها,mouth
هووّا كايخطط ل تسافيرا جديدا,He is planning a new trip
عندك,you have
علا غافلا,I forget
هانيا,congratulations
ب طابيعت لحال.,Of course.
هربت,I ran away
كان شاد فيك الناميما,I think you're asleep
ماڭانا,we are
ديال لمعدا,the stomach
أُ قرّرت نمشي بوحدي باش نبعّد علا كولشي.,And I decided to go alone to get away from everything.
شنو سميت بنتك?,What's your daughter's name?
اللي مزيان فلعاماليا هووا أنّاك كاتكون ناعس فيها!,The good thing about the world is that you get sleepy!
سوبو واحد دجاج مقرمش,the soup is a fried chicken
كايبالّيا بديت كانحماق!,I think I've started being stupid!
كانخرج من لخدما معا 6,I'm leaving work at 6
أشنو كاتقتارح?,What do you suggest?
كايبرزطني,It's bothering me
غايكون مبارّاع,It's going to be a fight
رييادا كاتحسّن لحالا لقلب و شارايين,The water is a good source of heat and poison
فيبراير,February
واعر,and know
بارد لحال ليوم,it's cold today
أش كاين,what is it
ماتڭولهاش,don't tell him
لخوروب هنا واعر,The water is very warm
غانسافر ل توركيا,I am going to Turkey
"واخا إكونو, الناس خاسهوم إكون فيهوم شويا ت تاعاطوف","Well, people should be a little more passionate about it."
كانفادال ناخراج أُ نتمتّاع بلما أُ النتاعش,I'm going to go out and enjoy the sun and the sun
هاد لأوغنييا زوينا,This is a beautiful song
نتا مكلّخ,you're a good person
إلا كنتي كاتيق بينا كاملين أنّانا نديرو لخدما ديالنا غادي نكونو حسان عاماليان,"If you believe us, we'll be better off doing our job"
شحال من واحد?,How many of them?
"تءخير, أشنو هادشي تاني?","Good evening, what's that again?"
صاحا,man
هادي لوقيتا باش نتفرج فتلفازا,It's time to watch the movie
هادشي ماشي سال كيفما كايبان ليك,It's not as bad as it looks
فيها,in it
ماشي موشكيل,It's not a problem
غادي ياخاد لينا بزاف ديال لواقت باش نرجعو من تريق ليجينا منها,It'll take us a long time to get back from the road
أنا بتاءكيد كانسا لخادما,I'm sure I can work
"فلواقيع, عرافتي شنو?","Actually, you know what?"
أُه هادشي غادي إكون غزال.,Oh that would be a joke.
ڭاع,he is
والاكين راهوم هي بطّات.,But they are potatoes.
ماعنديش أمال,I don't have any hope
ميا فلميا,100
نعس مزيان,good night
اللي ف قلبك علا لسانك,what's in your heart is on your tongue
أه بتاءكيد,"Yes, I'm sure"
تانا عندي أحفاد,I have grandchildren now
كايعجبني الدهب,I like gold
إدان غادي نخاليك أُ غادي نتلاقاك فلاخار تلعشييا,I'll leave you and I'll meet you later in the evening
عواشر,ten
و لماشروبات حتا هوما,And the drinks too
شنو قال?,What did he say?
أُ كان خسّني نفسّر لكمالا ت النهار.,And he had to make me feel better all day.
فين نقدر نعبر تقديا ديالي ?,where can I express my opinion?
عندك بزّاف ديال ل أفكار ليوما!,You have so many ideas today!
فيدلاه نعاماس,He's sleeping
من باعد ماكمّل إحريك فيدّيه,I've never done a full movement
أ ميمتي هادشي غايخلق موشكيل,When is this going to cause a problem?
لايسعد لماسا,I'm not happy about lunch
عندو شعر رطب,he has wet hair
تحتي فبالي,under my feet
الساديق وقت الديق,the friend at the party
أُلّا تاتڭول داكشي هير باش تضحك عليا?,Or do you just say that to make me laugh?
كانتلاب مانك غير ناس ديال الصالير ديالك ف عيشرين عام الجايا,I'm asking you to change your salsa person in the next twenty years
شي واهد خاشابي كانضنّ...,Some people think I think...
واش باقي مريض?,Is he still sick?
أنا لي خلت,I'm the one who left
تشهّيت نتفرّج ف فيلم واتاإقي,I wanted to watch a movie and watch a movie
واش مومكين تسارفي لييا عافاك?,"Could you take me out, please?"
ويكند,you can
أشنو بغيتي تحاكام فيه,what do you want to try
فاش توسل ل رونپون دور علا ليمن,the button is on the right
"واخا, بيما أناك هنا غادي دير داكشي لي كانڭول ليك","Well, while you're here I'll do the same thing I'm telling you"
شحال من خواتات عندك?,How many of you have?
داركوم زوينا بزّاف,Darcome is very nice
أنا بساح ماكانحملش طاياران ڭاع,I'm just not carrying any airplanes
مصاحبين,friends
واش كاتخاف من لقطوط?,Are you afraid of cats?
هادشي فايت لقياس,It's perfect for the size
إوا أُ ألا كان لموحامي ماغادّش إعاونّا,If my friend doesn't come to help
أنا أُستاد ديال لفالسافا,I am the student of the faucet
لورقا بيضا,the paper is white
بغيتي شويا?,You want some?
غادي يكون بحال كاروسا,It'll look like a carrot
بحال والو الطيح الشتا غدّا,It's like the weather is falling tomorrow
أُ ربع,and a quarter
دير فييّا واحد لپليزير,Give me a drink
عانداك شي سكّار?,Do you have any alcohol?
أنربي هاد لمشيشا,I'm raising this for the fish
لواليد كان هنا.,My father was here.
بسلاما,greetings
كان مقلّق عليك?,Was it bothering you?
كيفاش كتابك غايعاونّي نتهدّن,how does your book help me calm down
كيفاش كادوز ويكند عادي ?,how do you feel about normal weekend?
كنت ناوي نخدام هاد الليلا ف دار,I was planning on spending the night at home
واش تاقدار طلاب شوييا ديال أناناس بلاست ڭرنادين إمكن?,Can you handle some of the best spinach in the garden perhaps?
كانقرا كتوبا,I'm reading books
السما كاتنقّط,the sky is so small
أيخسني نڭول بلي لخلسا مامزياناش هنا,I'm afraid to tell you that the chickens are not good here
تاهرّوب داريبي,I'm afraid
تخلعات معا زلزال,The earthquake struck
خاسّو يوالّف علا لجاو لخايب,The poor man is sorry for the bad weather
غادي نحتاجو نعاولو علا تيليفوني,We'll need to talk on the phone
سير بشوييّا,Walk a little
هاد التلفازا زوينا,this TV is beautiful
لفوطا نقييّا,a clean blanket
كانعتادر علا...,I'm sorry about...
كان عندو جتيماع,He had a meeting
راه ماغالياش بزاف عاداتان,It's not very common
"وايه, ل أُمور ماشي عالا مايورام هاد الساعا...","Yes, there are things I don't like this time..."
فين هييّا لماكلا?,Where is the food?
تطبلا قصيرا?,short term?
أُ نتا?,And you?
هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,they're different in terms of price and price
شي واحد خلّا الشال ديالو,Someone else is his friend
شناهيا أحسّان حاجا درتيها ف حياتك ?,What is the best thing you've ever done?
بصّاح!,Go!
واش شفتيها من قبال,Have you seen it before?
دارت شي تسافيرات أُ كان بزاف مايتشاف,I've made some trips and it's very interesting
ماكانشوفش مسيان خاسّني نبدل ندادر,I don't see any reason to change the way I look
واش هادي هيا لمرا لولا لي كاتكون فيها ف تيارا?,Is this the first time you've been on the streets?
20 نوقطا,20 points
عندي قطّا,I have a cat
دضو مقتوع,He's a little tired
عمرك تحتي ف شي موشكيل لي ڭلتي عمرك تخرج منو ?,have you ever had a problem that I told you to get out of?
واش باقيين خضرين?,Are we green yet?
راه حدا,It's nearby
بحال لبارح,Like yesterday
مشيت بعيد شوييا,I walked a little far
كانحاول ندوز واقت موريح هنا أُ كانفضّل مانتبارزاطش,I'm trying to get a good swim here and I prefer not to compete
راه,he is
ضارب الشعا,It's a terrible thing
ماكانديرش السپّور,I don't like to travel
هوما درايفين بزاف,they are very funny
مات لبارح,He passed away yesterday
إمكان نبارمجوها فل ويكند الجاي ديال ماي,We can schedule it next weekend in May
كانتمنا تسمح ليا علا...,I hope you'll excuse me...
حيّد صبّاتك,Take your shoes
كولّا سيمانا,every week
توحّشت جدّا,I've been very worried
أشنو كايبالّيك أيخاسنا نديرو?,What do you think we should do?
دفر شعرو,He cut his hair
كانفادل روح عانيدا ف فاضاء لمافتوح,I'm feeling a little nervous about the opening scene
"زيد عليها, واهد لبرهوش جا أُ سبّني!","Plus, I'm going to the gym and the gym!"
معقولا.,It's reasonable.
أنا كاين فلمدراسا,I'm in school
أشمن اتار?,Which dish?
إنا أخاني كيعجبك تسمع ليهوم معا سحابك ?,do you like listening to them with your friends?
أحسان حاجا,good thing
هووّا ماشي موهنديس,He is not an engineer
عندي شوييا ديال تامشييا حدا دار لموسينّين.,I have a little walk to the museum.
لبڭر كيعتيونا لحليب,the butter is attracting us to milk
أنا أساسان كاناكول كارواسا فلموناسابت لخاسا سافي,I basically eat carrots on a regular basis
غادي إكونو كبرو دغيا,It's going to be a very big event
والاكين واش ماعييتيش?,But you didn't?
"تسنّط ليه, أيقدر يعجبك.","Give it to him, you might like it."
غادي ندق لجاراس باش يجي شي واحد يجيب ليك لقهوا.,I'll call the neighbor to get someone to bring you coffee.
"مزيان, نهارك مبروك.","Good, good day."
كانت واحد لبنيا سغيرا سميتها أنيا ماكنّاش كانتخليوها بوحدها,"There was a strange girl named Anna, but she didn't leave her alone"
ماطعام تايلاندي,Thai food
إنا كتاب?,Is it a book?
التافقنا ... بصحّا!,We agreed... goodbye!
أشنهوما لأنواع الناديرا ليكاتقلاب عليها?,What kind of drugs do you take?
رتاح.,Relax.
أُ أش ڭال راإس ديالك فلخدما?,And what did your boss do at work?
تلاقيتو لبارح,I met him yesterday
جدّا توفّات لعام اللي فات,My grandmother passed away last year
أش كايقراو?,What are you reading?
"قاهوا ب سكّار, شوكران","Sugar coffee, thank you"
عاإلتك عندهوم شي عادات و توقوسّ فشكل ?,do you have any habits and customs?
تلامد عتاو كادو لوستادتهوم,I'm sorry for the gift of their school
بزقول,I'm saying
علاش كاتعاقبني?,Why are you punishing me?
سماح لييا معاتال والاكين أنا ف تيليفون,Sorry I'm late but I'm on the phone
هاديك درييا لمسلوتا كاتشرب لحليب دابا,That's the best way for the customers to drink milk now
دوّزت وقت زوين,I've had a good time
أنا متءكّد,I'm sure
ماكاندنش,I'm not eating
"أُ فوڭ هادشي, غادي تكون لحلوا ف هاد ستاڭ","And by the way, you'll be on the right track"
أنا مقتانعا بلي عاإلتنا فاش كيتجمعو كيوليو بحا شي فرقا دياك مسراح,I'm convinced that our family is going to be together every day with a different team
"خايبات أمال, فاشال?","Bad luck, miss?"
تا واحد مايقدر إحرك هاد ل بوتا,No one can move this to the apartment
كاندكرك أنّا هاد لحيصّا ضاروريا.,I think it's probably dangerous.
غانتّصوّر,I'll take a picture
يالّاه تغدّيت,I've just finished eating
"جاني لمالال, أُ نتا?","I'm coming to the country, and you?"
هاد لقيصّا فشيشكل,this is the story of the picture
حبّ أُ تبن,love and take care
عوتلا ساعيدا!,A new home!
سايب سوندويش ديال الدجاج,I like chicken sandwiches
غطّي راصك ب الشال,cover your head with scissors
حساب ليا راه خديتي معاك لباوصالا...,I'm just taking you to the office...
عجبني,I like it
تولوتساعا,please
شنو ڭلتي?,What did you say?
كاتقصد مورا جتيماعاك,You mean your brother?
أنرسمك,I'll paint you
"سماح لييا, شامال ديال أسفي","I'm sorry, I'm really sorry"
واش خصنا نكتبو هادشّي?,Should we write this?
ماعنديش بزّاف ديال ل أصديقاء من غير راشيد...,I don't have many friends without a friend...
نهار,day
أنشارك ف موساباقا ديال لقيراأ,I participate in the reading contest
كنت هنا شي يوماين هادي,I've been here for a couple days
واش كان خوك ف پاريس?,Was it your birthday in Paris?
لمدراسا بعيدا علا داري,to school far from home
أُك,And you
لباڭاج ديالي ناقس,My needs are gone
فين غادي هووّا?,Where is he going?
عندي لحبوب,I have a crop
واخا تڭولّيه إجي لهنا?,Would you tell him to come here?
"ردّو لبال, راه كاينين الجدورا فينمّا مشيتي","Take it easy, there's a wall around you"
حنا بزّاف,We're very busy
حدانا,we are alone
غادي نساولو!,I'm going to ask!
ماتخويش فييّا لأعصاب ديالك,Don't worry about your nerves
أُلاه ماعرفت علاش درتها.,"Oh, I don't know why I did it."
غاير عادي,unusual
أشمن ديسّير بغيتي?,Which dish do you want?
واش عندك سرف ديال?,Do you have any money?
أنا ڭاع مامقلاق,I'm a big boy
أنا شاخسييان غادي ندير شاراإح ديال أنانس أُ أرماڭناك,I'm a businessman who makes a lot of people's clothes and clothes
شي نهار أخور,another day
ماعمرك ماشركتي فشي ماراتهون ?,How old are you when you participate in a marathon?
أُه...لأمر كايعتامد عليك,Oh... it depends on you
أش كايعني داكشي?,What does that mean?
أُ أش بان ليك ف أجهيزا ديال إپاد بلاست موداكيرا ديال لوراق,And what do you think about the paper-based iPad?
سالام,Hello
أه نقادرو نزيدو زيت زيتون معا لباربا,Yes we can add olive oil to the bar
حوايج ماشي راسمييّين,Your business is not official
كانبغي خدمتي,I want to serve
فين تعلّمتيها?,Where did you learn it?
تامان كان هووا هاداك معا لقواليت ديال لپرودويت,The next day he was there with the leprodite
دابا كايدووّز بزّاف تلوقت فدّار,Now I spend a lot of time at home
مزيان تعاون الناس,good people helped
علا قبلي,to me
راه كان شوكولات كايدير سهال!,It was chocolate making it easy!
كايبالّيك أنا كانحماق?,do you think I am stupid?
واجه لواقيع,face of the fall
ديما كانّسا نشرب لما,I always drink for a drink
كاين داك لبلاسا تاليانييا جديدا,There's a new Italian place
أُ نتأكاد بيلا كانحافضو عليها,And I'm sure they're keeping it
فاقاط مورا مانسالي من شرابي,I'm just about half way through my drink
أه غادي تكون مومتيعا,"Yes, it will be interesting"
"أُ بحال شي موعجيزا, ماعمرو خسر أُ أنا فيه باقي","And as a miracle, he never lost and I still have him"
شناهوا?,What is it?
دقيقا هاني جاي,The minute is coming
ماكايسمعش لييّا,He doesn't listen to me
كيفاش كيعجبك دوز لعشيات ديالك ?,how do you like the taste of your dinner?
نهار لخميس,Thursday
نشوفاك غدا,I'll see you tomorrow
يمكن نعييت علا أمينا باش تجيب لكورسي,I could call the secretary to get the chair
توحّشت الضحكا ديالك,I miss your smile
ماكانش ب إديك,it's not yours
خصّني صمطا,I need a belt
عندي شعر مكريپّي,I have curly hair
أش هاد زوج حنا!,What a beautiful husband!
تلصّقو معا بعضييّاتهوم,they stick together
بحر ديال سحاب نغرقو فيه,the sea of clouds to drown in
واخا تعطيني ل كالكولاتريس ?,And can you give me the collar?
ليوما تاريخي,Today is a historic day
الدخّان جاب ليه لعطصا,The smoke gave him a taste
واش كان لبات كايعيش فلإسطابلات?,Did you ever live in the stables?
ماعرافتش علاش,I don't know why
نتا واعار بزاف ف ختيراع أطباق خاصّا,You are very knowledgeable in the preparation of special dishes
شافت خوك لبارح!,I saw your eyes yesterday!
نتا/نتي كولشي بنيسبا ليا,You're everything to me
صافي قنعتيني,You convinced me
غادي يخاليني نحاس بساعادا,I'll be able to feel the pain for an hour
"واخا هكاك, كانشاكّ أنّا سوقور كايعجبوهوم لفكارن","Well, I doubt the fans liked the carnival."
أنا كانسكن ف...,I live in...
ساك مزوّر,the bag is fake
واش كاتعراف شي سحارا مزيانين?,Do you know any good witches?
مابعيدش بزّاف,I'm not very close
ماتحتاجش تعيّت ليا مولاي.,You don't need to call me sir.
أش خسّ ندير?,What do I do?
"أه, راه ت لخدما","Yes, it's on the job"
بزّاف ديال الناس كايعيشو ف أسيا,There are many people living in Asia
بلا جميل,It's a beautiful place
مايمكنش ليا نلقا بزطامي ب عينيا مسدودين...,I can't see my eyes closed...
واحد من سحابي كايتعراد لتانامور حيت كايلبس نضاضر,One of my friends is crying in the sun because he is wearing a suit
غادي تاحتاج شي حاجا شاهييا باش تماص ڭاع ديك لبيرا,You'll need something to make that beer
حتا تدارابت علا كيفاش مانخافش من طاياران,You've also learned how to not be afraid of flying
أنا ماتحامسا بزاف نشوفها,I'm so excited to see it
"فلعشا تليوم, حنا معوّلين علا 10 ديال الناس","At dinner yesterday, we're about 10 people"
نتا دكي,You're right
لقيت لقاوها سادا,I found it sad
أنا غير كانتبارهاش,I'm not a doctor
هادي أحسان حاجا شفتها,That's the best thing I've ever seen
"والاكين راه يمكن ليا نراجع برّا, ماكاينش لاش نبقا حاصلا هنا.","But I can go back to the beach, there's nothing to stay in here."
شنو تامارين لي عندنا ?,What are you doing for me?
ف ناضاري,in the village
شحال من مرّا ?,How many times?
"لجيسّم ديالي كيڭول أه, ولك عقلي لا","My husband is saying yes, but my mind is not"
"فاش كانت سغير, كراهت بنت عمّي, كانت كادّير فكارن فوق ضهارها","When she was younger, she was a cousin, she was a carpenter on her shoulders"
تامييز ضدّ مودمينين ديال لكوحول!,A special case against the two-legged suitors!
علاش غير مانبقاوش شوييا هنا?,Why don't you stay here for a while?
لمودير ديالك هوا ليعراد عليك لماسراح?,Your boss wants you to go to the bathroom?
ماعمرك ماجربتي تسوار,You've never tried traveling
موستقبال,welcome
هووّا مامعروفش,He's not known
واش قريتيها?,Have you read it?
باينا كاضحك معايا?,He seems to be laughing at me?
ماقريتش هادشّي,I didn't read that
تقريبان.,Nearly.
هادشي علاش كانعيش ف كوخ سغير فلغابا معا كتوبي,That's why I live in a small cabin with my books
سير نيشان,I'm going north
أش بالّيك نڭولو ڭاع غدّا نمشيو لشي تفجيجا,Why don't we go tomorrow and go to the beach?
علاش نتا مدرونڭي,why are you crazy
كيفاش?,How?
لا أنا كانفكّر باش نتخلّا عليه.,"No, I'm thinking of giving up on him."
واليديا كايسحاب ليهوم مشيت زعفان,My parents are always taking me on a slow walk
ماعندو حتّا فيكرا,He doesn't even have an idea
عيد ميلاد ساعيد,Happy birthday
والاكين قتاعتي صبعك,But you've stuck your fingers
شهر لي فات,I've been late
داكشي علاش كان حسان,That's why it was nice
كولّا جمعا,every Friday
عطيني,Give me
غادي ياكلوه ل فيران,He'll eat it in the morning
"كايخلي نفكار فواحاد لحانا كانعرفها, زوينا بزاف","It's a thoughtful thought when I know it, it's so beautiful"
كايعجبك تمشي لمسرح ?,Do you like to go to the theater?
نسيت.,I forgot.
فرڭع رمّانا,he's been a long time
أنا متءكدا بلي لموش ديالي كيختت باش إحتل لعالام,I'm sure it's not my fault I took the time to get to the world
ماعمرو تكلّم لعربييا,They don't speak Arabic
مايمكنش ليك تسوولني دابا? موحال نكون هنا فل حيصّا الجايّا,can you ask me now? we can't be here next time
ماعنديش بزّاف,I don't have much
سربي,I'm a surgeon
أُمان باعد أيخاسنا مانخايبوش ليهوم لءمال ديالهوم.,And I'm sure they don't care about their business.
واش هادا عاصير ديال ليمون سغير?,Is that a small lemon juice?
واش تيليفونك فيه وحدا?,Is your phone alone?
شنو لموستاوا تاقافي ديالك ?,what's your favorite recipe?
بغيت نبدّل حوايجي,I want to change my clothes
عندي خويا سخر مني,I have a brother who is ridiculous
مالقيتش تقاشري,I didn't get my ticket
غير بشوييّا,just a little
أحسّن حاجا فينا هييا كيفاش كاندويو بساراحا علا كولشي ?,The best thing about us is how we manage everything?
أودّي شوف هي راسك كيداير,I'd like to see your head as it turns
ختي طبيبا,I'm a doctor sister
ماكانشوف تا موشكيل ف أنّاني نخدّم الدروج,I don't see any problem in running the stairs
"أه, غادي إكونو جوج منهوم!","Yes, it'll be two of them!"
أه والاكين الترجاما كانت غالطا,"Yes, but the arrangement was wrong"
إلا طلعنا ف هاد لهاضابا غادي تولي عندنا شوفا مزيانا أُ ل ڤيلاج أيكون مضووّي إدان غادي نشوفوه ب سوهولا باش نعرفو ل إتّيجاه لي أنمشيو فيه.,If we get up in this direction we will have a good view and the village will be bright if we can see it easily so we can know where it is to visit.
مومكين إتقارن,It's possible to compare
غانمشي لجّامع,I'm going to the meeting
أُ بدا كايبرد لحال شويا.,And it seemed to be getting a bit cold.
موحالش,it's not easy
أنمشي نشوف نجوم,I go to see the stars
بسّح,he is
أُتعتي لراساك تاجريبا شافاهيا,I've been to a very good business meeting
ماتخمّمش,Don't guess
ماغاديش نخلي ليك حتا شي تاعليق مازيان ف طريپادڤيسور,I won't leave you any good comments on the board.
"أُ سارباي هبيل, داكشي علاش إمكان ليك ديما تخدمو بحال شي موهرّيج!","And it's a good thing, so you can always work in a comfortable way!"
الديتهوم ل الجامع,the collector's guillot
"أُه سير علّاه, كايبان ليا كانستاحقوها, كان ليوما سعيب","Oh, go on, it looks like you deserve it, it was a difficult day"
غادي إكون هادشي لوطف منّك.,I'll be so kind to you.
ماعنديش أدنا شكّ,I don't have any doubts
التمر بلحليب,the milk is passed
فيهوم,in them
أه,Yes
مبروك عليك,congratulations
التقاشر الموسخين,the hot water
ياوم,Yes
داروري خاسّني نرتاح,My doctor needs me to rest
لكليان ماعرفش واش يشري لرپودويت دابا ولا يتسنا سولد,I'm not sure if I should buy a product now or pay for the product
مابغيتش ناعيا,I don't want to sleep
خسّهوم إكونو قراب لبعضيياتهوم,They're close to their friends
كولشي فراسو,Everything is fine
"حدي راسك, أنا غير طبيب نفساني ديالك!",I'm your psychiatrist!
مسا لخير أ عشيري,Good evening
تڭيّبت علا بزاف تلحيصاص ديالك حيت جاو فوقيتّ لقايلولا,You've been very busy with your hair since you came over to my office
كايكمي فلبالكون,He's eating in the balcony
نجيب ليك شي حاجا التاكولها,I'll bring you something to eat
واش كيعجبك تفرج فكورا ?,Do you like to watch?
شحال زوين أنّاني نشوفك!,It's good to see you!
عندنا لا پيسسين لينا بجوج,we have no access to the pool
خالينا نڭولو بجوج معا صوعوبا ليعنداك,we'd like to talk to you later
هاد الصابونا زوينا,this soap is beautiful
هادشي نعيكاس ديال لحالا لعاقليا ديالك,It's a special occasion for your mind
نتا إنسان مامزيانش,You're a very good person
والاكين ماعمّر كانو عندك ماشاكيل معا جيران لقدام ديكساع?,But you never had problems with neighbors in front of the desk?
جيني ڭود,I'm coming
لا,no
أنا مسترسّي شويا دابا,I'm a little nervous right now
"هاكّا أُ هاكّا, والاكين حسان بزاف من لبارح, شوكران","Yes and no, but it's very nice from yesterday, thank you"
واش باقي لخوبز,Is there bread left?
ماشي بكري بزاف علا كوكتايل أولّا?,Isn't it too early for cocktails first?
نقدرو نديرو سانڭريا.,We can do it in English.
ماكانتسوّقش لحتّا واحد,I'm not even looking for one
قارن,comparison
هنا,Here
ناقدار نحاياد هادشي بزاربا,I think we can celebrate this with a smile
"أُنتا كاتعرف شحال كانبغي زابدا أُ جبان أُ لماكلا لغانيّا, أُلّديدا","You know how much I like to eat and eat, especially"
أُه خديتيهوم بجوج?,And you took them together?
شحال ف الساعا?,How much is the hour?
بلان!,He is!
تبزنيسا,you're dressed
خاسّك تسنّا,You need a dentist
عمرك تلاقيتي شي واهد مشهور ?,have you ever met a famous person?
"والاكين منين ركابنا لماسعاد, بدا راإس ديالي كايعاواد لييا ديك لقيصّا","But as we rode to the beaches, my head seemed to be turning to the story"
كايقرا ف جاميعات موهامد لخاميس,He teaches in the parishes on Thursdays
أش بالّيك?,What's wrong with you?
خسر فلوسو ف لقمر,He lost money on the moon
لبيت جا فدقيقا تسّعين,I'll be home in about ninety minutes
لبارح,yesterday
"فاطيما, عافاك خليني نفكّر فيه, باغي نرتاح.","Fatima, please let me think about it, I want to relax."
أنا مقتانع لڭلاس إقدر إقاد حتا أسعاب نهارات,I'm convinced that the class can handle all the challenges
هادشي بنين,this is a building
والاكين كايبان ليا أنا تابيعا باقا تابعاني فڭاع لبلاياس!,But it seems to me that I'm still a fan of the beaches!
تقدر تدوي لينا علا لعالاقا ديالك معا لعابا ديال فرقتك ?,can you tell us about your relationship with your team's team?
معندكش فورصا باش تاخود كريدي من شي موءساسا خايريا,You don't have the opportunity to buy a new home from a good institution
إمكن نجمعوه معا لاڭلاس,we can put it together with the class
هزّ حوايجك,Take care of your clothes
أنا مقتانع بلي ل پيزّا هيا لوخا لعالاميا ديال ساعادا,I'm convinced that pizza is the world's favorite food
"أه, أنا جديدا هنا طابعان, والاكين حينت نتا ديما كاتجي هنا غادي تكون عارف شحال غالي كوككتايلات هنا","Yes, I'm new here of course, but when you come here you'll know how expensive cocktails are here"
واش كايعيش ف الفاس?,Does he live in the basement?
ماعمرك ماشاركتي فشي حادات رييادي ?,how old are you when you get involved in a real event?
تنين,wait
إمكن مومكين ترسم لأحلام ديالك.,Maybe you could paint your dreams.
خرج إضربك شويا تلبرد,Get out and get a little cold
عندو فم كبير,he has a big mouth
