darija,tgt,src
راه عيد ميلادي ماشي ڭنازا,It's not my birthday,ماشي عيد ميلادي
واش نتا حمق?,Are you a fool?,واش انت أحمق؟
بريتي شويا?,Did you get a drink?,واش عندك شي مشروب؟
ماشي معقول,It's not reasonable,ماشي معقول
بتّي سبغات واحد تسويرا زوينا ديال عشيرتها,She's a beautiful photographer of her family,هادي صورة جميله لعائلتها
إمكان إعتاماد شويا علا لجاو,I could wait a bit longer,يمكن لي نستنى شوية.
أش بان ليك?,What's your opinion?,شنو هي رايك؟
هنا!,here!,هنا!
واش كاتضرّك شي حاجا?,Do you care about anything?,واش عندك شي حاجة تهتم بها؟
ميراران وا تيكراران,mirrors and mirrors,مرايا و مرايا
سناني كحلين,my teeth are open,أسناني مفتوحة
فيه الداجيج,he has a bag,عندو كيس
كان مان داواعي سوروري ندوي معاكوم ليوم!,I'd like to have a chat with you today!,بغيت نتكلم معاك اليوم!
النيشان,the target,الهدف
"راه زوين بحال هاكّا, خفيف, أُ طاياب","It's as good as this, light, and good",هادي الوضوحة، الضو، و الجودة
ساعا ساعيدا شفناك مرّا خرا,I've seen you again,شفتك مرة اخرى
يالّاه نمشيو لبحر,Let's go to the beach,يالاه نمشيو ل الشاطئ
سير واجي,Go ahead,تفضل
حداه,close,اقترب
علاش كاتغوّت?,Why are you crying?,علاش كاتبكي؟
هادشي فشكل,That's the picture,هادي الصورة
هاد لكتاب ديال لوبنا.,This is our book.,هادا هو كتابنا.
لمكتب مصاوّب من لخشب,the office is made of wood,المكتب مصنوع من الخشب
زاد كحّلها,He also solved it,و هو حَل ليها حتا
بغيتي قهوا أُلا أتاي?,Would you like coffee or tea?,واش تبغي قهوة أو شاي؟
لكتاب راه حدا طبلا,the book is on the table,الكتاب على الطاولة
شعري طويل,my hair is long,شعري طويل
كانسماع أسوات حدانا,I listen to our friends,كَنْسْمَع لْصْحَابْنَا
"والاكين نتا مامتواتارش, كاينا?","But you're not a fan, are you?",ولكن انت مش معجب بيه، ياك؟
شوكران بزاف حيت جيتو تشوفوني,Thank you so much for coming to see me,شكرا لك بزاف على المجي لزيارتي.
هادشي ساخيف,it's going to be horrible,غادي يكون فظيع
كانتمنّا أناني نقدار نجي أُنشوفاك فلقاريب لعاجيل.,I hope I can come and see you soon.,كانتمنى نقدر نجي نشوفك قريبًا.
كانرتاح لشي أخاني فلأوقات سعيبا,I'm comfortable with my bad weather,أنا مرتاح مع الطقس السيئ
ندمات علا هاديك لوقيتا,I'm sorry about that,أنا آسف على هاد الشي
"علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي?","At least you'll be calm, no pain, okay?",و على الأقل غاديك تكون هادئ، و ما غاديك تتعرض للألم، حسنا؟
حاضير,he is ready,هو جاهز
شحال من لوخا كاتهدر ?,How much do you spend?,شحال كتنفق؟
عندنا بلان,we have a plan,عندنا خطة
لموت ديال الصهد,the death of the patient,موت المريض
معالّام,teacher,مدرس
النيفاق ديالو كايمرّدني,His liver is annoying,الكبد ديالو مزعج
إمكان لينا نشاربو من جوج,We can have a drink together,يمكن لينا نشربو معا
شوكران علا لكادو,Thank you for the gift,شكرا على الهدية
شوكران.,Thank you.,شكراً ليك.
كانخاف نبقا البوحدي,I'm afraid to be alone,كَنْخَافْ نْكُونْ وَحْدِي
عندو الدار ديالو,he has his own home,عندو دار خاصة بيه
أُ إلا نعست كايكون عاندي أحلام غاريبا.,And then I'd sleep and have big dreams.,و من بعد كان ننام و كان عندي أحلام كبيرة.
"سالام, كيداير?","Hello, how are you?",أهلا، كيفك؟
لسوء لحاد لكتابا ديالي خايبا بازاف,Unfortunately my book is very poorly,للاسف كتابي رديء بزاف.
"قلّب علا سباب واجيه لشي زردا بين زومالاء, بلانيها, أُ عياط عليه","He added the reason for the delay between the sunsets, the sun, and the sun",و أضاف سبب التأخير بين الغروب والشمس والشمس
بغيت شي طبلا حدا شرجم,I want a pair of sunscreens,بغيت جوج كريمات الشمس
"علا كول حال, أشمن ناوع ديال ڭين عنداك","Anyway, what kind of ideas do you have?",على كل حال، شنو نوع ديال الأفكار اللي عندك؟
لاش كاتلمّح?,What are you saying?,شنو كايقولو؟
من طابيعت لحال,of course,طبعا
إدان عندنا واحد لموشكيل.,We have a problem.,عندنا مشكلة.
واش بصّح كاتفكّر هاكّا?,Do you really think that?,واش بجد كاتظن؟
هادا موشكيل حاقيقي,It's a real problem,هادي مشكلة حقيقية
أنا أنكون أُكتوپوسّي.,I'm an octopus.,أنا أخطبوط.
ماعمرك ماشاركتي فشي ماتش رييادي خايري ?,what is your age in the best sport?,شحال عمرك فالألعاب الرياضية الرائعة؟
كانضن يمكان لينا نصاوبوه أُ نقادموه معا شوييا ديال أعشاب لباحرييا كا بيدايا,I think we could make it and serve it with some seaweed as a starter,كنضن بلي نقدر نصنعه و نقدموه مع شوية من الأعشاب البحرية على سبيل المقبل
التوما خاسها تحماسّ,Tomma is excited,توما متحمسة
شنو أكتار إموجي كاتستعمل ?,what kind of emoji characters do you use?,شنو نوعية الرموز التعبيرية اللي كتستخدم؟
طوموبيل خسرات داكشي علاش خليتها ف جانب طريق,The car broke down so I left it on the side of the road,الطوموبيل فاشل، و خليته على جانب الطريق.
إقدر إكون شكل لمدووّر لي كايزعاج تالابا أُماشي ندادر,Maybe it's a weird way to get upset and go crazy,يمكن يكون طريقه غريبة للي كايزعجني ويكيجننني
غير هاد ألام صغيرا,except that pain is minor,إلا إلا إن الألم كان قليل
هادشي ماشي شغلي,That's not my business,هادا ماشيشي الشي اللي كايهتمني
بغيت نولي بعقلي ولك دري سخير فيا باقي مابخاش,I want to make up my mind and I'm just as nervous,بغيت نختار و أنا مزعج
بغيت نمشي ل إفران,I want to go to Ephron,بغيت نمشي ل إفرون
كايجي لمضراصا ب الطوبيس,he comes to the restaurant by bus,كايجي للمطعم بالباص
خديم عقلك,I'm taking care of your mind,أنا كَنْتّْهَلَّى الْعْقَلْ دْيَالْكْ
كيداير?,how are you?,كيفك؟
أُ إلا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,"And if it's a good night, we can celebrate it in the neighborhood.",و إلا كانت ليلة مزيانة، يمكن لينا نحتفلو فيها فالجوار.
نيت نتبرعوو ندحكو ناكلو ماكلا بنينا باش نبقاو عاقلين علا هاد لعشا,We're just trying to eat our own food to stay sane about this dinner,حنا كنحاولو ناكلو لخادنا باش نبقاو عاقلين حيت هاد العشا
واش كاتماتاع بقاهوتاك?,Do you like your coffee?,واش عجبك القهوة ديالك؟
لغطا ديال ناموسيتي عامر ب لا ڭلاس,The language of the city is full of ice,لغة المدينة مليئة بالثلج
أنا متءكّد ميا ف لميا,I'm sure it's a hundred,أنا متأكد بلي هادي مية
فورشيطا?,For a while?,لفترة؟
كيداير لجو ليوما ?,what's the weather like today?,كيفاش الطقس اليوم؟
"دوكتور, دازو بزف ديال ليالي مالي كانت كانعس","Doctor, I've been sleeping all night",دكتور، كنت نايم طوال الليل
تانتمنّا نڭودّو نخرجو دغيا!,I hope we can get him out soon!,كانتمنى نقدر نخرجوه من هنا بزاف!
أشنو مزيان بنيسبا ليه?,What's the best breakfast?,اشنو هو أحسن فطور؟
أشناهييا أخير حاجا عاقل عليها,It's the last thing she's ever thought about,هادا آخر حاجة كانت تفكر فيها
كاتعجبني ل موسيقا لكلاسّيكيا,I like classical music,كَنْبْغِي الموسيقى الكلاسيكية
أُ نتا?,And you?,و انت؟
فوقاش مشيتي لتما,when did you go there,وقتاش تمشي لتما؟
غاليبان طلع عيّان,they're probably looking up,من المحتمل بلي كايشوفو فالطابق العلوي
واش ماعيّيتيش?,Didn't you get it?,واش ما فهمتيش؟
مشيت اللبحرّ بوحدي,I went to the beach alone,مشيت للشاطئ وحدي
ماشي موشكيل!,It's okay!,ماشي على ما يرام!
ربحنا ل ماتش,we won the match,ربحنا المباراة
كاندان بيلا جيراني كايسحاب ليهوم بغيت نأديهوم,I have a neighbor who is friends with whom I want to give a gift,عندي جيران لي كايعاشرو و بغيت نعطيهم هدية
كيسدقات,you are crazy,انت مجنون
ماعجبنيش هاد أتاي,I don't like this tea,ماعجبنيش هاد الشاي
بغيتي شويا تلما?,Would you like some ice?,واش تبغي شوية دليلا؟
مادرت والو,mother and father,الامه و الاب
عرس خويا,my brother's wedding,حفل زفاف أخي
واش مومكين نجيب ساحبي?,Can I get my friend?,واش يمكن لي نلقى صاحبي؟
عندي إلتيهاب ف لحلق,I have a sore throat,عندي وجع في الحلق
تاريقا ناديا باش تبقا هادي,I'm trying to keep it simple,كنحاول نحافظ على البساطة
أه ناديا,"Yes, I am",نعم، أنا
أش بان ليك فلماتشات جايين ?,How do you feel about the upcoming movies?,شنو رأيك في الأفلام الجاية؟
كيف راك نتا أُ دراري,how are you and my friends,كيفاش انت و صحابي
"سكات, اللا?","Shut up, huh?",خف فمك، ياه؟
عرفتها غير من الشاپّو لبيض ديالها,I've known her since she was a baby,كانعرفها من كانا طفلة
"لا, ماخاسناش نعاقدو لأمور بشي ماودوع","No, we don't have to deal with the situation",لا، ماعندناش حاجة نتعاملو مع الوضع
خانخرج كلب ديالي,I'm going to take my dog out,غادي نخرج الكلب ديالي
"لبارح, شربت أتاي بلاسكّار","yesterday, I had a glass of tea with a glass of tea",امبارح، شربت كاس ديال الشاي مع كاس ديال الشاي
فين نقدر نلقا أتاي?,Where can I find tea?,فين نقدر نلقى الشاي؟
كانحماق عليك,I'm kidding you,أنا كاد نلعب معك.
هادي فيكرا ماشي دينيا!,That's not a religious idea!,هادا ماشي فكرة دينية!
تونوبيل كسيرات فل وتوروت,the bus is broken in the trunk,الطوبيس مكسور فالصندوق
ملي كنا سخار كنا كانسوڭو ماتر كولا نهار,When we were young we used to hang around all day,منين كنا صغار، كنا نخرجو كل نهار
كيغادي ندير بسّالاما نعرف ?,What do I do with everything I know?,اشنو غادي ندير بكل شي عارفة؟
أشنو بغيتي تاكول?,What did you want to say?,اشنو بغيتي تقول؟
راإع,it's great,هادا رائع
طريق السالاما,the way of peace,طريق السلام
خود ليك دوش,Take a shower,خذ دوش
أش كايعني هادشي?,What does that mean?,شنو كايعني هادا؟
لكوافّور ديالي حلّ سالون جديد,My chairman opened a new salon,رئيسي فتح صالون جديد
"كاتمتّل أنّاك باغي تعرف كيداز نهاري, كي كانحسّ, علاياش كانقلّب ف لحايات?","You think you want to know what's going on in my life, how I feel, what's the impact on my life?",كَتضن بلي بغيتي تعرف شنو كايجري فحياتي، كيفاش كايحس، شنو كايأثر على حياتي؟
"والاكين ماجاوبتينيش, كيكاتحسّي دابا, مورا ما تفارقتي معاه?","But he doesn't answer me, he doesn't care anymore, since you broke up with him?",و لكن ما يجاوبنيش، ما بقيش بيه إهتمام، منين انفصلت عنه؟
إلا كانتي متءكاد بزاف,If you're too busy,إيلا كنت مشغول بزاف
ختي لكبيرا وستادا,my older sister is a teacher,اختي الكبيرة معلمة
راه ساهلا بزاف,It's very simple,هادشي بسيط بزاف
ماكانقدرش نسبر ل داكشي!,I can't explain that!,ماكانقدرش نفسر هادشي!
بġيت نسبّن حوايجي,I've come to pay my bills,جئت باش نخلص فواتير ديالي
أودي راه حتا شعري لساق فل پهوتوكوپيوس!,I'm even hairy on the foot of the bus!,حتى أنا شعري على رصيف الطوبيس!
دايرا الريجيم,I'm going to eat,غادي ناكل.
لعافوو,the fire,النيران
موستاش?!,No!,لا! لا!
هاد ليستا ڭاع مابغات تقادا,This list is incomplete,هاد القائمة غير كاملة
نتا حمق,you are an idiot,انت أحمق
"أُه, واش شفتي!","Oh, did you see!",أوه، شفتو!
لخوطوا الجايّا هييّا..,The next step is...,الخطوة التالية هي...
أنا عزيز عليا نطيّب لخوبز,I love to cook bread,كَنْبْغِي نْخَبِّي الخبز.
تاريخ لإستيعمار,date of birth,تاريخ الميلاد
بان لييا كايقالاب علا شي حاد,I think he's talking about something serious,كنظن بلي كايهضر بشي حاجة خطيرة
"بغيت لما السخون, عافاك","I'd like the heat, please",بغيت الحرارة، عافاك
تويشيا,right,صح
ماكايسمعش لييّا,He doesn't listen to me,ماكانستمع ليا
بصّاح?,Really?,بجد؟
"اللا, مازال ماحلّيتو","No, I haven't finished yet",لا، ما خلصتش لحد دابا.
بلّاتي نتءكّد,I need to confirm,خاصني نتأكد
أش كاتعاود,What's your turn?,وقتاش دورك؟
أنا كايعاجبوني ريوسهوم لغريبا أُ جلودهوم ليكتشباه ناس شارفين,I like to make their hair look strange and their skin look like respectable people,كَنْبْغِيهُمْ يْكُونْ الشَّعْرْ دْيَالْهُمْ غريبي وْالجِلْدْ دْيَالْهُمْ كَيْبْدَا بْحَالْ النَّاسْ الْمْحْتَرْمِينْ.
واقت كامل,it's full time,هادا وقت كامل
واش بغيتي تشوفهوم?,Would you like to see them?,واش تبغي تشوفهم؟
فيا الجوع,I'm hungry,أنا جوعان
مورا لحارب لعالامييا لاولا,after the war for the world first,بعد الحرب، لأول مرة في العالم
هوكّا,yes,نعم
"أه, درايفا","Oh, yes, I'm sorry",أوه، نعم، أنا آسف
تدّيهوم ل سيرك?,Do you want to give them to your circus?,واش بغيتي تعطيهما لسركسك؟
"زيد عليها لجار تالت, لايعمّرها دار","Add to the next door, the old house",زيد على الباب المجاور، البيت القديم
كانقتاراح ديسير خفيف,I prefer lightweight designs,كايفضل التصاميم خفيفة الوزن
واش من نييتك كاتجري بل بوط,Did you mean to run with boots,واش قصدت تجري مع الجزم؟
شف ديالي ماكانش ناشط,My lips were not active,شفتاي ماكانوش نشطين
مابقيتش شفتك مازال,I haven't seen you yet,ما شفتش ليك حتى دابا
أشناهووا شراب?,What's the drink?,اشنو الشرب؟
إلا ل أباد,except for the bad,إلا للي مش جيي
كايجي ل نڭليز بزاف والاكين ولادو باقي سغار علا السافار بزاف,He comes to England a lot but he's still very busy traveling,كايجي للانجلترا بزاف، ولكن مازال مشغول بزاف بالسفر.
خاسكوم تمشيو لبار,You have to go to the bar,خاصك تمشي لبار
نتمنّاو هادشي إخدم.,I hope it works.,كانتمنى ينجح.
من بعد نمشيو ناكلو فشي بلاصا فلمدينا,Then we go to the city's restaurant,من بعد غادي نمشيو ل المطعم ديال المدينة
بغيت هاداك,I want that,بغيت هادشي
نجوم كيبانو فسما,the stars are looking for sunshine,النجوم كايبحثو عن ضوء الشمس
واش فايت كليتي فديك رستورا,Are you ready for the restaurant?,واش انت مستعد للمطعم؟
ماتهزّش لهمّ,Don't be silly,ما تْكُونْشْ بليط
ماكانحسش براسّي بيخير ليل أسّاف.,I don't feel good on a sad night.,ماكنتش حاسس براسي مزيان فليلة حزينة.
كانو كايحولو إخلّيوني نبقا ناكول نهار كاملو,They were trying to keep me from talking all day,كانو كايحاولو يمنعوني من نتكلم اليوم كله.
نحاولو?,What do we do?,اشنو غادي ندير؟
كيدازت لخرجا?,Did you get out of the house?,واش خرجت من البيت؟
مابقاش ف الصطوك,no more in the stake,ماكاينش فالمصيدة
"هادش كيبان زوين, والاكين ماخانكونش مسالي","It looks good, but it's not interesting",كايبان مزيان، ولكن ماشي مشوق
واش دارتي قاإما ديال ضيوف لحافلا?,Have you had any guests at the party?,واش كان عندك شي ضيوف فالحفلة؟
"شيپس غادي تكون مزيانا, غانموت ب جوع","The chips will be fine, I'll starve",الشيبس غادي تكون مزيانة، غادي نتضور جوعا
ماكاينا تا حاجا خاتوقفنا,we can't stop anything,ماكانمكنش نتوقفو شي حاجة
كنّا مساحبين شي عام هادي دابا,We've been in a relationship for a year now,حنا كايعاشرو من عام
بحال هاكدا,like that,هكاك
ناري علا روينا,fire at our house,حريق فدارنا
فاش نقدر نعاونك?,Can I help you?,واش يمكن لي نعاونك؟
والاكين ماكايبانش عندو صيلا بلحاضير,But he doesn't seem to have a living room,و لكن ماكيبانش بلي عنده غرفة المعيشة
وصلاتني لكوموند,He called me to the commander,عيط لي للي كابتن
هادشي ماكايدخولش لعقل,This doesn't make sense,هادشي ماكانعقلش
كانقتارح ناكلو لفرماج بل فورشيطا,I suggest we eat cheese instead of cheese,كايقترح ان ناكلو الجبن بدل الجبن
أنا قيسّيس,I'm a scientist,أنا عالم
أحسان طير ديال لما عندي هووا لوز,the best bird I have is a rose,أحسن طير عندي هو الوردة
ڭالييّا نطّاصل بيه,I'll have to get him on board,خاصني نضيف ليه
ماعمرك مادرتي ليوڭا ?,What's your mother's birthday?,شنو هو عيد ميلاد أمك؟
غادي ناخود لحوت,I'll take fish,غادي ناخد السمك
شكون ربح,who won,شكون ربح؟
تشباك سابعان.,The network is seven.,الشبكة هي سبعة.
عزاوي,I'm sorry,أنا آسف.
شعل الضو,turn on the light,ضو الضو
هاد لكلب ضرييف,This dog is very nice,هاد الكلب زوين بزاف.
واش بغيتي لباربا معاهوم تاهيا,Would you like to go to the bar with them?,واش تبغي تمشي معاهم لبار؟
"وف, لبيأ ديال خدماتاك ماكاتبانش ليا موفريحا أُ موشجّيعا","And, the environment of your work does not seem to be fun and stimulating to me",و، البيئة ديال العمل ديالك ما تبانش ممتعة و محفزة بالنسبة لي
"واخا هاكاك, يقدار يساباب بزاف ديال دوهون","Well, it's a lot of fun.",واخا، هادشي مزيان بزاف.
خاسّ نكمل هاد لكتاب,I'll just finish this book,غادير خلصت هاد الكتاب
توّلتي بزّاف,you're very late,انت فاتت بزاف
"بسارحا, شي مارات كانتساءل منين كاياخدو دراري سغار تادريب فهاد لواقت","I mean, sometimes I wonder where the little ones are getting the training from now on.",كايعني، من وقت لآخير كايعجبني فين غادي يتلقاو الصغار التدريب من دابا فصاعدا.
حطّ داكشي اللارض,Put this on the ground,حط هادشي على الأرض
غادي ندوور لمدراسا أُ نڭوليهوم راه غادي نتعطل شوييا,I'll go to school and tell them it's going to be a little late,غادي نمشي للمدرسة و نقول ليهم بلي غادي نتأخر شوية
ديفاع كان واجد و واقف قدام لهوجوم ديال لفرقا لاخرا,The defence was strong and faced the other teams' offense,الدفاع كان قوي و واجه الهجوم من الفرق الأخرى
كايهضر بزّربا,he speaks in a language,كايهدر بلغة
"مرحبا, عزيز عليا التوت بزّاف.","Hey, I love fruit too much.",هاي، أنا كايعجبني الفواكه بزاف.
شنو أحسّن ديكرا عندك من سخور ?,what's your favorite memory of the past?,اشنو هي الذكرى المفضلة ديالك من الماضي؟
فكلما وحدا,alone,وحيد
"هادشي أكتار إتارا ليهتيمام من تاريخك فعيلم ل أنساب أُ لكانز""","This is the most important event in your history for the ages and cancers""","هادي هي أهم حدث في تاريخكم بالنسبة للأعمار والسرطانات"""
تحت لارض,underground,تحت الأرض
تايبان أنّاهو وڭفنا.,It looks like it's gone.,كايبان بلي مفقود.
بغيت نمشي ل,I want to go to,بغيت نمشي ل
كانعقل,I'm thinking,أنا كنفكر
كانتعلّم نطيّب,I'm learning how to cook,أنا كَنْتعلّم كيفاش نْطَبخ
أش هادا?,What is that?,شنو هادا؟
واش كاين بوطون ديال تاواريء?,Is there a button for the tower?,واش كاين شي زر ديال البرج؟
ماعندي سوق,I don't have a car,ماعنديش طوموبيل
كاندير لماكياج,I'm a makeup artist,أنا فنانة التجميل
"والاكين معا حوايج زوينا,تاقدار تاكول حسان","But with the good preparations, you can eat well",و لكن مع التحضيرات الجيدة، يمكن ليك تاكل بشكل جيد
ماعنديش لولاد,I don't have children,ماعنديش ولاد
أُ لماكلا?,And what about food?,وماذا عن الطعام؟
"بغيت نخليه صغير, نڭولو شي 30 واهد","I want a small dish, say 30 vows",بغيت شي طعام صغير، قل 30 نذر
أش وقاع?,what happened?,شنو صار؟
شنو جاك فعيد ميلادك?,What's your birthday?,شنو هو عيد ميلادك؟
دار داكشي لي طقال ليه,He gave me a meal for it,ويعطاني وجبة ليها
ماعرني كليت لساندويش,I mean I ate a sandwich,أنا كليت شطيرة
شنو هو أكتار ماوقيف موحريج تحتيتي فيه ?,What's the most important stop in your underground?,اشنو هي أهم محطة فالمطار ديالك؟
غانسكن البوحدي,I'll stay alone,غنْبْقَى وحيدْ
واخا ل ماسّاڭ أُ روم,I'll have a massage and a rum,بغيت تدليك و شراب الروم
هادشي خليتو ليك,I've left it for you,خليتها ليك.
"وايه, عشراني مبلوكايين","Yes, ten days",نعم، عشر أيام
"لاباس عليه, أولا لا?","He's okay, right?",هو بخير، ياك؟
"أه, أه, ڭولييا عليها","Yeah, yeah, I'm talking about it",نعم، نعم، أنا كَنْتحدث عن هادشي
مايمكنش تحكم علا كتاب من لغلاف ديالو,You can't judge a book by its cover,ما تقدرش تحكم على كتاب من الغلاف
ڭاع,now,دابا
ماكاينش طوم فلقهوا,There's no tooth on the floor,ماكاينش سينا فالأرض
عافاك ماتخافش,please don't be afraid,عافاك ما تخافش
"فاش كانتصنّط ليك أُ كانهدر معاك, راه علا قبل أتّاوازون أنّافسي ديالك, حيت هادي خدمتي.","If I can make you and talk to you, it's up to you to make your own breathing adjustments, because it's my business.",ولو كان نقدر نتحدث ونتحدث معاك، فهو بيدك تديري التنفس ديالك، حيت هادا شأن لي.
كايّاخود لواقت بزّاف,It takes a lot of time,كاياخد بزاف دالوقت
والاكين إمكان ليا بصاح نستاعمل شوييا تلموساعادا ف باش نلبّسو أُنصاوبو,But I could use a little help in getting dressed and dressed,و لكن يمكن لي نستعمل شوية من المساعدة في اللبس و اللبس
أُلفرمليات كايبرزتوني فكول مرّا كايديني فيها نعاس,The girls make me feel sick every time I fall asleep,الفتيات كايشعروني مريض كل مرة ننام فيها
إلا لأباد,I'm sorry,أنا آسف.
هاد لموصيقا عييّانا,That's a good idea,هادي فكرة مزيانة.
أولّا!,First!,الأول!
ماكليت والو نهار كامل,I didn't eat all day,ماكلتش النهار كله
أش واقع?,What is real?,اشنو هو الحقيقي؟
"إلا بغيتي تشري قارعا ديال شراب أُ تشرابها بتخبيا, شري قارعا زوينا","If you want to buy a bottle of wine and drink it in secret, buy a bottle of water",إيلا بغيتي تشتري زجاجة دالنبيذ و تشربها فالسر، شري زجاجة دالمياه
كايبنيو واحد لا كاڭ,They're building one,كايبنا واحد
مالك كاتحنزز فييّا?,What makes you feel bad about me?,شنو اللي كايجعلك تشعر بالسوء حولي؟
هووّا مولف يطيّب,He is a good cook,هو طباخ مزيان.
مابقيتش شاب كيف كنت شحال هادا,I never looked young like I was,ماكانش نظرتش بحال ماكنت
بغيت نشري شي حاجة,I want to buy something,بغيت نشري شي حاجة
كاينين حتا ل أنسهيطا.,There are also plans.,كاينين حتا خطط.
يالّاه ندوزو شي ليلا ناديا خير أنا وياك معا لماكلا لي كانموتو عليها,let's have a nice night of sleeping with you and me for dinner,خلينا نحصل على ليلة لطيفة من النوم معاك و أنا على العشاء
أنا كايعاجبوني لباحارا حتا هوما,I like the beach too,كايعجبني حتا أنا الشاطئ
هوا فنيكيش,He's in the kitchen,هوه فالمطبخ
داوازت معاك واقت زوين,I spent a good time with you,ضيعت وقتا مزيان معاك
تبلوكيتي,I've been blocked,أنا مسدود
كيفاش تاتجبّد قبل نعاس?,How do you get up before bed?,كيفاش كتنبقى فالفراش؟
لحوايج فلماريو,the stuff of the animal,حواف الحيوان
بغيت نمشي لل مغريب,I want to go abroad,بغيت نمشي لبلاد أخرى
ماعمارني دارت هادشي قبل,I've never done that before,ما عمريش دخلنا فداك الشي.
كانفيق فصّباح بكري,I wake up early in the morning,كَنْفيق فالصباح بكري
لبنكا سادّا,the bank is closed,البنك مغلق
تبرزيط,the frost,الصقيع
كاندن أنّي تفاكارت بيلا لماكلا مازويناش بزاف.,I guess I thought the food was very good.,كانضن بلي كان الطعام مزيان بزاف.
واش نتغدّاو مجموعين?,Are we having a group dinner?,واش غادي يكون عندنا عشاء جماعي؟
"ووه كايعجبوني ل كوكيز, أيه عافاك.","And I love cookies, yes, please.",و أنا عجبني الكعكات، نعم، عافاك.
مسا لخير,Good evening,مساء الخير
أ فينك,And you,و انت
مول لكلب كيعتيه عدما كولا نهار,The dog is always fed by the dog every day,الكلب دايما كايطعم الكلب كل يوم
واش عندك شي أفكار خرين جاوك ف راسك?,Do you have any ideas that have come to your mind?,واش عندك شي أفكار كايجي ليك؟
شكوناهوما?,Who are you?,شكون انت؟
'ساحبي' هاهاهاها,'Sweetie' is right there,"""السلوتة"" كاينة هنا"
ماكاينش عندنا هاد النوع,We don't have that kind of stuff,مَا عندناش هاد النوع دالشي
ڭال شي حاجة مازويناش بزاف,Something that's not very nice,شي حاجة ماشي زوينة بزاف
حشوما,the scum,الحثالة
أنا ماشي من لموعجابين لكبار حيت موميلّا,I'm not a big fan of the weather,ماشي أنا من محبي الطقس
كانقي لمارييو ديالي,I miss my mother,كانفتق لامي
شهر سبعا,month seven,الشهر السابع
"وايه, عندك صحّ.","Yes, you're right.",نعم، عندك الحق.
عينيا كيحرقوني,My eyes are burning,عينيان كايحرقو
حاضّ ساعيد أ شف!,I'm helping you!,أنا كايساعدك!
شي بلان لهاد لويكند ?,What's the plan for this weekend?,اشنو الخطة ديال هاد العطلة؟
واش عنداك 200 دهس,Do you have 200 pieces,واش عندك 200 قطعة
"سير, تبرّع معا راسك!","Sir, give me your head!",سيدي، عطيني راسك!
"لا, أنا غير دايز","No, I'm just a day",لا، أنا غير نهار
"ماكاين التا بحر تحت منّا, هير پاكيستان","There's no sea underneath us, it's Pakistan",ماكاينش البحر تحتنا، هادي باكستان
مبروك,congratulations,مبروك
يقادرو يسارقونا,they're probably stealing us,من المحتمل بلي غي سرقونا.
خمسا تدراهم,five of them,خمسة منهم
ماكانضنش فيكرا مزيانا أنّاك طلاب شامپاڭن غاليا,I don't think it's a good idea that you ordered a high-end champagne,ماكانش باين ليا هادي فكرة مزيانة باش طلبت الشمبانيا الراقية
جداتها عتاتها هاد لبراسلت,Her grandmother gave her this message,الجدة ديالو اعطاتها هاد الرسالة
مابيهش,it's not,ماشي هادا
سير نيشان,go on,كمل
شنو سميا لي تبغي تسمي راسّك ?,What do you want to call your head?,شنو بغيتي تسمى رأسك؟
واش بغيتي لما?,Do you want to?,واش بغيتي؟
واش كاين دجاج تماك تاهوا?,Is there chicken in there today?,واش كاين الدجاج اليوم؟
عندنا,we have,عندنا
خايكون ريح بزّاف,It's going to be very windy,غادي يكون هوا كبيرا
واش كريتي دار?,did you buy a house?,واش شريت بيت؟
"أيه, مرحبا.","Yes, hi.",نعم، أهلا.
"والاكين مازال كاين شوكلات, بغيتي شوييا?","But there's still chocolate, would you like some?",ولكن مازال كاين شي شوكولاتة، واش تبغي شوية؟
سفر فتونوبيل ولا لكار كيبان نادي تاكاتحسّ شحال ماشي موريحا لڭلسّا,traveling by bus or car makes the club feel so uncomfortable,السفر بالباص أو السيارة كايجعل النادي يشعر غير مريح
خسرت بزّاف ديال لفلوس,I lost a lot of money,خسرت بزاف دالمال
فيناهووّا لماريو,where is the water?,فيناهما الما؟
أش بان ليك أسيدي?,what do you think?,شنو رايك؟
ماهازّش معايا تيليفون.,I don't have a cell phone.,ماعنديش هاتف.
والاكين خسّك تحتارم هاد لوقت الجديد,But you have to try this new time,و لكن خاصك تجربو هاد الوقت الجديد
ماكانّاكولش الروز,I don't eat rice,ماكلتش الرز.
كاين شي فارماسيان قريب من هنا?,Is there a pharmacy near here?,واش كاين شي صيدلية قريبة من هنا؟
بساه لماشاكيل لأمنييا رتافعات,Just the security issues are high,بس مشاكل الأمن عالية
نتا زوين,you are beautiful,انت جميلة
علاش كايعصّبونا بحال هاكّا,why do they bother us so much,علاش كايضايقونا بزاف؟
لا بغيت غير نساوال علا أنواع لبيرا ليعنداك,I don't want to change the color of beer for you,ما بغيتش نبدل لون البيرة ليك
كان يسحاب لييا ليوم,he was taking me today,كان غادي يديني اليوم
كاينا حتيماليا صغيرا بزاف ديال أناهو تكون حاضارا فل مرّيخ,There's a very small audience to be present in March,كاين عدد قليل من الجمهور اللي غادي يكونوا حاضرين فمارس
