Original Moroccan Arabic,Translated English
بغيت نبقى غير حدك,I want to be alone.
كان عليك حتى تفكر,You should have thought of that.
الله يجيب تسير,God is good
ماشي خايب و مختلف بحال الخدمة!,Not bad and different service!
نتا باغي دباز بان ليا,I want you to take my pancakes.
خاصك تعطيني الفلوس نفرسيهوم,You must give me the money to pay them off.
أنا غادي ن شوشّش عليك,I'll confuse you.
زوج بنتك و بعد دارها مايجيك غير خبرها,Your daughter's husband and her house will only bring you news.
راه نواحي لاخرى ماكايدويش عليها,It is the other way around.
تعطلي بزّاف باش تستاشنّر,Take too long to get acquainted
أجي تسمع مزيان,Come and listen carefully.
ماعندهوم مايديرو محتاجين لفلوس,They don't have money to spend. They need money.
بحالا هشان؟,How is it going?
كانت الطيارة حسّها تدير ديپارت معا لعشرة و ربع و لكن تعطلات,The flight was scheduled to depart at ten-four but there were some problems.
كون غير قدرت نجي لعندك,I wish I could have come to you.
عندنا أستاد مزيان,We have a good teacher.
تلقو شهاب نارية فسما,Fireworks are heard in the sky.
مانضنش غادي نتشكى منك,I don't think I'll be complaining to you.
ديما كايحضر معايا,He always comes with me.
خليت ليكوم فرقة بقاو ديما تايقين فيها,I left a band that always stuck with me.
علاش مابغيتيش تصايب دك طابلة,Why don't you make a table?
كون غير قدرت ن حسّن لوادعيا,I was only able to improve my condition.
هاتينا باشا زوقتي,This is my time.
خلي ليا شوية دلوقت,Give me a little more time.
و شراب الباراه موجود,And there's also a barbecue.
غانقديو بيها الغرض,We'll give it a try.
أنا غادي نردعك,I'll stop you.
باغي تنكورني,I need a shirt.
كايدير بزاف ديال التجارب,He is running a lot of tests.
راني كنت ترينيت البارح,I was on a train yesterday.
البنت سر مها,The girl is very nice.
هيرينغ أبنتي أشنو عندك,"Herring, my daughter, what have you got?"
عمرك جربتي دير السوايع ديال خدمة إضافية,You have tried to call the overtime service.
كيسدقت,I have been robbed.
مابغاش يخرج غا بزز,It won't come out that fast.
ملي يخوفني وهو يراهب,When he scares me he is scared
الماشين شي حاجة زوينة,The machine is a beautiful thing.
شكرا على كولّشي,Thank you very much.
بلا ما تحاول توازن حياتك,Don't try to balance your life
ماتقلقش.,Don't worry about it.
هو فالأدمة,It's in the skin.
راه سيد راه نيشان,It's the master. It's the master.
مابغيتك نهضر معاك,I don't want to talk to you.
كتشي فيا لهدرا,I have a lot of money in this account.
من غير هادشي، ماكنديرهاش,"Otherwise, it won't work."
كنتي ف فست بم?,What have you been wearing?
ت قدر تشوف ليا واش كاين شي سلد فلپروڤيات تنديف هاد السيمانة ?,Could you see if there are any leftover fried chicken dishes this week?
الخدمة كتبغي المعقول,Service is reasonable
شتك وليتي كادوري فيا,My wife and I are both working in the office.
ختار الجار قبل الدار,Choose the neighborhood before the house.
أول سيمانة,First week
تناقشنا شوية,We had a little chat.
مادحكوش عليا,Don't laugh at me.
"أوه, آه, هادي فكرة مزيانة.","Oh, yeah, that's a good idea."
ومعا خل غادي لعمل,And then I'm going to work.
شي فلوس معاتلين علينا,We have to pay a certain amount.
ماعندو قيمة,It has no value
عمرك تحجّ على لفرقة,Your age is a band.
نمشي نشري لعطرية,I'm going to buy perfume.
أتشوفو ل وجه تاني,See you in person
نتا ماكاينش بحالك,You are not well.
كانترعد كاملي,I am fully recovered.
قلت ليك سيري بهالك,I told you to go that way.
كايحترم الناس,He respects people
ونتيا مالك صبرا عليه,And your owner is patient with him.
عارفك مابغيتش تشوفني,I know you don't want to see me.
ماتبقاش تشري بزايد,Stop buying too much.
علاش جاي لنيويورك,Why am I coming to New York?
راني عايق بيك أش باغي دير,I want to see you.
وكسم,And then
بغيت نعرف شنو شاف,I want to know what he saw.
بنسبة لدوا تالت فلورقة ديال طبيب را ماعدناش خانكومانديوه ليلا بغيتي ونجيبوه بالكتير عيدا,"For the third sheet of a doctor's note, we no longer prescribe it overnight and deliver it more frequently."
بعيد ب واحد مية ميترو على هنا,It's about a hundred meters from here.
سولي ليا على هادا,Please excuse me for this.
أش كايدير هادا هنا,"Ah, that's right there."
واخا هو ف نادي لڭولف ديالي!,"Yes, it is in my golf club!"
لي كايربي ولاد ناس بحال لي كايدق الما فلمهراز,I raise children who are like me and I throw water in the river
خليني نمدحو,Let me praise him.
نتوما لي جات معاكوم,I regret coming with you.
كايعرف غير خسران الفلوس,He only knows how to lose money.
غاندير عملية نهار الخميس,The surgery will be on Thursday
نتا أشنو سميتك,What is your name?
درت الحفلة غير فستح,The party was only on Friday.
اللهيرحم من زار و خفف,May Allah have mercy on him and grant him peace.
واخا تعطيني للكالكولاتريس؟,Can you give me the collateral?
خديتي سيرتيفيكات,I have certificates.
مازال كاين بازاف ديال الحاجات زوينة,There are still many beautiful things.
ماتبقاش غير ديع فلوسك,You only have to put your money in.
خاصكي تعرفي تمشاي,You must know how to walk.
عمرك ت دوق من هاد الماكلة ماتعرف يكون فيها سم,You are sick of this food you don't know is poisonous
دازو اليام,The day before
تبارك الله عليك ديما فلوقت,Thank God you are always on time.
على حسابي,It's on me.
بزاف ديال الضيوف، بزاف ديال المحاضرين,"Too many guests, too many lecturers."
أنا منبهر بالعمق ديال شنو كاتقول,I am impressed by the depth of what you are saying.
علاش مابغيتيش تنخرط و تشري أشوم فهاد الشركة,Why don't you buy shares in this company?
كيفاش كيحتافلو الناس هنا بالأعياد الوطنية,How do people celebrate national holidays here
نتحداك ت سلّف من عندو,I dare you to steal from him.
ساليو غير دروج والكراج صافي,Just leave the stairs and the garage is cleared.
منين وصلنا يا البنات,"Where are we, girls?"
عمرك جربتي تفيق مع هاد الوقيتة,You must have tried to get up at this time.
أشنو حب لخاطر?,What is the risk factor?
لعب شحال بكا ملي توقعت غاتكون توعيتة حايبة,I played a lot of games because I thought it would be a good experience.
كانتسنّا فيك ت السجّل هدرتو,We were on the record talking.
كانشبع دغيا,I am satisfied immediately.
كيجاوك هاد براكليات لي سايبت بالعقيق؟,How do you like these gingerbread cookies?
واخا ماتكونش ڭاع ولد لمينتاقة,"Okay, don 't be such a naughty boy."
بغيت نتعلم الدارجة,I want to learn to drive.
شركة ديالي كاينا ف جوج بلايص.,My company has two locations.
أهنا أنا راني غير فزغورة دب,Here I am just looking for a bear.
"أه, كولشي ناضي!","Oh, it's all right!"
باقي مالقاش خدام,It's still not working.
ملي قلتي طابلة عادية، كنت كاندن واش كنت گالس ف طابلة ديال شي واحد آخور,"If you say a regular table, I'm not sure if I'm eating or sitting at someone else's table."
كان كيسحاب ليا غادي داررو هاد العصيفة,If I had to pull it I would pull this shirt.
نيتي خرجات عليا,I have a bad intention.
مابقا ليه والو ويوصل,He is still waiting for his arrival.
راه جديد هاد تيليفون,This is a new phone.
تفردنا على كورة أنا ودراري,Just me and my brother.
راه ڭادّ على عائلتو غير بعد منو,He is only after his family.
عندك نتا جديدة ديالو,You have a new one of his.
كون هاني ماكاين تاشي حاجة,Please do not leave anything behind.
مابغيتيش تستقل على الباترون و تولي عدم الراسك,You don't want to get on the bus and take off your head.
أنا كاهدر معا سيدة لي موراك,This is Mrs. Lee Morak speaking.
بقيت أنا و الجثة ديال جرتنا,I was left with the corpse of our neighbor.
على داك الفم لي ماكاتكسدك,So I didn't catch you.
هو ماعليه ولاو,It is not on or off.
تعطلي بزّاف باش تزهر,It is too late for it to bloom
كان كيسحاب ليا غادي كيكمل داك الفيلم,"If he were to pull me out, he would finish that film."
بصح!,That's right!
عندي شانطة عامرة بداكشي لي كتبغي تاكل,I have a bag full of something you want to eat.
عمرك جربتي توقيت و نتا كادير شي حاجة قدام الجمهور,You've tried to time yourself to do something in front of an audience.
غادي يربح ف البرنامج,He will win the show.
بزاف ديال نعاس سحي,Too much sleep
بهال بنتي هاكا,My daughter is like that.
تانفكّر واش خاصني نرزرف قبل.,I wonder if I should make a reservation first.
مابغيتيش ت حامي علييا زعما,"I don't want you to protect me, I suppose."
الرياضة كاتزيد ليك من ثقة,Exercise gives you confidence
واش هادا نتا؟,Is that a stain?
فين مشيتي اليوم؟,Where did you go today?
سلمي عليهوم كاملين,Give him my best regards.
قبل مانموت خانتبرع بورتي كامل الجمعية,"Before I died, I donated my entire portrait to the society."
فينما درت نلقاك هداية,Where did you get your present?
لاعطيها خوير هههه,Give it a whirl.
لمرة جاية سمع ليا,Next time listen to me
خليني نخرج من هاد البيت,Let me out of this room
حسيت بيه كايثرك,I felt that it affected you.
واش كاتشرب القهوة بالحليب و سكر,Do you drink coffee with milk and sugar?
كانمشي للخدمة,I'm going to work.
راه مدنب خاصو يتحكم,He is guilty and must be punished.
كون على بال,Be careful
عندنا بلان,We have plans.
كون غير قدرت ن شيير عليه بشي شتابة,If I could only have been a little more careful.
سيفتليه من صباح,It will be delivered in the morning.
أنا ڭاعما كانعرفك,I'm glad to know you.
بلّاتي نزيد ف الصوت,My voice is getting louder
شحال درتي ف هادشي?,How much did you make for it?
جا على ليسر ديالك,Go to your left.
ريح لارد شحال فيك ديال تبرزيت,I wonder how many bags of spinach you have.
أجي تبردي,Come and cool off.
ماغاديش نهبسو,I won't be arrested
خليني نسافر غا يوماين,Let me travel for a couple of days.
إيلا ماعاوت ليك لمن نعاود,"If I don't come back to you, then I'll be back."
فرفارة خليتها حدامة.,The carpet is broken.
دوزت شوية ديال الوقت ففرنسا وألمانيا وأمريكا الجنوبية,"I spent some time in France, Germany and South America."
نتحداك ت قاطعو إيلا ماصلك,I dare you to interrupt if you don't.
داكشي لي قلت إكون ب الحرف,That's what I said to be exact.
خاصنا نديوها السبيتار,We have to take her to the hospital.
ورّكت على ل بوطون ديال ليرجونس نص ساعة هادي,I stopped at the Learson's button half an hour ago.
مابقيتي كاتقشعي والو,Keep your hair on straight.
ديمك شهال بارد مامسوقش,Your food is cold. It's not served.
راني غير كنتسنا فيك تفيق,I was just waiting for you to wake up.
عندنا لا بيسين لينا بجوج,We have two swimming pools.
كانتسنّا فيك ت عد داك نصاب,We were hoping you'd read that right.
ماكانفيقش بكري,I don't get up early.
جدّي مريض,My grandfather is sick.
وسلوها سخونة,Her hair is hot.
فراسي شفتي ليا لكارطا ديالي فاش كنت خارج.,I think I saw my card when I was out.
ديما عزليني من دون ناسّ,Always keep me isolated from people
أشمن نوع ديال الرقص كادير؟,What kind of dancing do you do?
أنا غادي نوضح حليك المشكل,I'll explain the problem to you.
"كايصوني حتّا وڭف, و ماتانضنّش شي واحد غايجاوبنا.","They call me to the door, and I don't think anyone will answer us."
تقدّيت لقدرة و لدسّرت,I have advanced and I have lost
ولكن كانبداو شوية معطلين فالعشية,But they seem a little slow in the evening
ماكاين باس,It's not okay.
كيعجبني فش كيكون البرد والشتا,I like it when it's cold and snowy.
والله هتا حشومة عليك,God is so good to you.
كيفما كتعرف,How do you know?
غادي دير الخير فراسك، دابا تشوف,"You'll do well to sleep, you'll see."
رانمشي للمدرسة,I'm going to school.
تعطلي بزّاف باش تنتاقد هاد لوضعية,You are too busy to criticize this situation.
الخطوة الجاية هي..,The next step is...
شحال مرحي هاد الوليد,How happy this birthday is
أنا راه من لحمك ودمك,I am your flesh and blood
خوك ف ديما,Pork in the oven
علاش مابغيتيش ترتبت ياكما مركز دابا غير على قرايتك,Why don't you get organized and concentrate on your reading now?
أشمن آثار؟,What kind of footprints?
بغيت نشرك معاكوم أسواع تجربة,I want to share with you some experiences.
دير جهدك,Do your best
أنا جاتني واحد الفرصة نمشي على برا,I had one chance to go outside.
غير ماكس لي كاي دورو,Only the Max Le Kai is playing.
أنا غادي نتعصب,I'm going to be nervous.
داكشي تقيل عليك,That's what they say about you.
فليل تشر بتلج,A snow-covered night
هاهنا جينا,This is Jenna.
شحال و أنا كانقلب على شي حدمة,How long have I been looking for someone?
سعد بناتي جا طال الهنا,My daughters are happy to be here.
مابقيتش باغي نرجع ليك دوك الحوايج,I don't want to go back to your laundry.
بغيت نشري واحد لا كارت ديال تيليفون عفاك.,"I would like to buy one for a phone card, please."
و لكن كان زوين أنني نشوفك!,But it was nice to see you!
باقي عندي الخدمة بزّاف,I have a lot of work to do.
في اليا دوخة,I have a headache.
داخل خارج معاه,In and out with him
كون هيا بغات تمشي عند البوليس,"If she wants to go to the police, she can."
ماكانعرفوش عليهوم بزّاف,We don't know them very well.
ماكانش ب إيديك,It wasn't your hand.
هي ماما كادافعليه,She is my mother.
تعاودنا خويا ورجعت,"We are back, brother."
أنا خرجت بكري,I left early.
ولكن خلينا نشوفو,But let's see.
بلا ماتفسّل جلّابة,Don't bother to bring it.
من بعد كاينة ديك روند-بوانت وماغاديش تقدرو تزغلطوها,Then there is this round-point and you can't turn it around.
شونا كتمنا فهاد العام,What are you doing this year?
كانخير من البندقة عطينيها خير الماكلة,I prefer the gun to the food.
إيلا جاو تلاميذ,If students come
شوفي نصيحة مني,Here is my advice
كان كيسحاب ليا غادي يقوي عليهوم,"If he pulls at me, I'll beat him up."
فين كايمشي ويجي؟,Where does it go and where does it come from?
عندي شلّا مايدار,I have a running shell.
فين ممكن نلخلص؟,Where can I pay?
دير نفس وكون راجل,Breathe and be a man
علاش مابغيتيش تدور العيالات بيك كيما أنا كادندير,Why don't you let the ladies play with you like I do?
مسحا فيا عفاك,Please clear it.
طلعات علينا لفيزة رخيصة,We have cheap flights.
مابغيتيش ت وجّه دوك لواليدات لشي شعبة ماشي زوينا,I don't want to be the one to point out to my mother that her hair is not pretty.
"أه, كاينا.","Yes, there is."
الله إكبر بيك أختي,"God bless you, my sister"
باقي عندك شي حاجة مانقسّيو?,Do you have anything else we can borrow?
ماستر تمشيو قدام,"Master, you go ahead."
تايقولو بلي غير كولوندير هاداك,They say it's just a colander.
هادشي غير المسلحتك,This is just your gun.
نتحداك ت حوّل فلوسّك لهاد لعملة,I challenge you to convert your money to this currency.
أش هاد النشاط تاح عليك اليوم,How busy are you today?
ملي شتيني علاش ماسولتينيش,"I'm sixty-two, why don't you ask me?"
بغيت نتيقو والايني ماقدرتش,I want to get up but I can't.
شراهيرين باش خرج من لحبس,Two months out of prison
شجّع فرقتك فلمسيانا و لمرّا,Encourage your team to forget and move on
راه ولا بيخر,This or that
لاي جعل فطريقك غير ولاد ناس,Don't make your way into people's lives.
مابقاش الوقت بزّاف,There is not much time left.
مانقدرش نتحرج,I can't be embarrassed
كانتسنّا فيك ت تعاون داك راجل كبير,We were hoping you would help that old man.
العوين معا نصارا ولا لاكلاس 5صرا,Class 1 or class 5
بلا ما تزيد ل راسّك لعاداب,Don't add to your head any manners
ماشفتينيش,You can't see me.
أولي على البربة في الحريرة,First on the bar in the silk
معاكس عادي تجيو عدا,The opposite is normal.
عندها ورام في المخ,She has a brain tumor
لليل كامل وأنا هال عينية,All night long I have been awake
مايمكنش هادشي,That is not possible.
كانت باغا تكمل قرايتها,She wanted to finish her reading.
كولا وزهرو,Coke and flour
الحلم ديالي نولي طبيب,My dream is to become a doctor.
فين نصيفت هادشي؟,Where did you put this?
من صغري وانا داخلة السال,When I was younger and in the saddle
يارب تربح فرقتي,Please win my band
كاتسولي فيا أنا؟,Are you asking about me?
كل نهار كايدرب زلزال في هاد البلاصة,Every day there is an earthquake in this place.
نموت عليها,I'm dying for it.
كيف بقيتي,How are you?
ڭاع لغرض كانقديهوم,I sold it for cash.
البرو مرون,The forehead is flexible
هيت أتعذبي,She is suffering
مريض نتا تعاندني أنا,I'm sick of you bothering me.
كان كيسحاب ليا غادي يزرب باش يجي لهاد العرس,"If he were to come to my wedding, he would hurry."
أنا غير عصبي هاد الليلة,I'm a little nervous this evening.
القضية بدات كتحمد,The case began to unravel.
أش عندك ماتڭول على الموسناضا ديال لجمهور و كيفاش كاتعاونكوم فالهداء ديالكوم؟,Do you have any tips on crowd control and how you can help them to control crowds?
تانعاود نعياط ليك,I'll call you again.
درت واحد الغلط,I made a mistake
اجي تاكل معايا,Come eat with me.
ولمفوتيش قاليا بيان,The notebook said it was a notebook.
وسير ديركت ودور,Go straight and turn around.
أنا غادي نتسلق جبل,I'm going to climb a mountain.
كي جاك واش قدك,Jack wash your hands
ماخليت هيتا قنت ماقلبت فيه,"I didn't make it, I just turned it on."
سيفتو ليا الفلوس,I'm out of money.
غادي يوصلو من دابا 3 دقائق!,They'll be here in three minutes!
و ماتخافش، غادي ندير داكشي بزربة,"Don't worry, I'll do it in a minute."
نتي غير كدابة,It's only a trick.
أنا لي ختاريت هادش,I chose this.
كاينين عند الهري,They are in the hallway.
والداه أسامها فيه,His parents named him after him.
علاش مابغيتيش ت دفعو من لبالكو كيفما متافقين,Why don't you pay for the ticket as agreed?
كايجي لنگليز بزاف ولكن ولادو باقي صغار على السفر بزاف,He comes to England often but his children are too young to travel.
ديرو حتى نلحقو عليكوم,Keep it moving until we catch up with you.
ماخلستيش تا القديم بقا غير جديد,You haven't even worn the old one yet.
مردت سخانة وردان,I have a fever and I need to get some flowers.
لي سمعت راهوم كيخلطو مذاقات ديال الماكلة ديال بلدان كتيرة؟,Have you heard of people mixing up the flavors of different countries' food?
مكاين لي غادي يحل عليك,Where will you be staying?
مالك مسموم,Your husband is poisoned
كنتي كاتجسي علينا,You were sitting on us.
هادا موضوع خطير بزاف,This is a very serious matter.
شحال هادا ماتشوفنا,How many of these do you see?
أشنو كيعجبك تفاح ولا ليمون؟,Which do you prefer: an apple or a lemon?
أقل حد,Minimum
المذاقير خاصة,Private memorabilia
صافي داكشي لي غادي ندير و من بعد غادي يخصني نمشي نسربي ل كليان لي يالّاه جا دابا.,I have to do this and then I have to go serve my next customer right away.
كانّ كايزاوڭ فيا,He was checking on me.
الصراحة راحة,The truth is easy
نتحداك تبقى واقف فهاد البوزيشن,I challenge you to stay in this position.
تانفكّر شحال ديال لوقت أياخدو هاد هاد لبويتات باش نخويهوم,I wonder how long it will take me to finish these pictures.
شكون هاد الخييات لي كاتخيطي عندو,Whose clothes are those you're sewing for me?
عند نجار يعاود ليا سدادر,I have a carpenter who will give me back my money
كيفش كتقدر تقول هادشي؟,How can you say that?
عمرك تجيب الأولاد الصغار,Your mother brings the little boys.
آه سبحان الله,"Oh, thank God"
كيجاك هاد ستون,What is this stone?
ملي عرفتك ونتا كدير غير زبيل,"When I met you, you were just a monk."
كان كيسحاب ليا غادي تعدّو لكلبة ملي قاسّ ليها ولادها,"If I had a stroke, I would be a tough bitch to have a child with."
كانتسنّاه يخرج من لخدمة,We heard him coming out of the service.
أش كاتفرج فيا هال فمك,You're looking at me with your mouth open.
دير مليون,Make it a million.
ماقشعت هيتا لعبة,I thought it was a toy.
دلام الهل,The dark of the moon
كولشي كايعرفني كانخرج معاه,Kolchi knows I go out with him.
ماكايقوليّا والو,They don't tell me anything.
كانتسنّا فيك ت زلق عليا,Your hand slipped on me.
"أه, وڭفات.","Yes, and you forgot."
بيتي تمشي سير,My house is a walk-in.
بريكا راه ماخداماش,The brakes are not working.
كيف ردا مع خدمة,How to respond to a service
كون غير قدرت ن سيك شي جملة مفيدة راني كاسّول بزّاف,"If I could only find a useful phrase, I would be very disappointed."
ماتسوتيش عليه را غير غادي ينسب عليكم,"Don't worry about it, it'll come to you."
مالكي مسدعاني,My name is Masada.
الحريس ديال لأسم حبس شي كواري وا وزّاف و لكن درنا دكشي لي علينا,The owner of the name has locked up a quarry and is on the run but we have to take care of him
ماكنتش نفكّر فيها.,I hadn't thought of it.
ثمال مسؤوليتك,It's your responsibility
تما ماعرفت,I don't know
كنت بغيت نقطع الفطر في القنط ليكنعرف مزيان,I wanted to cut the mushrooms into slices so that they would taste better.
خوف صفحة أخرى,Turn the page
كون غير قدرت ن حدّد ليك أش باغي,I was able to give you the information you wanted.
الكلمة الصحيحة هي أتموسفيرا، ماشي الهواء، ولكن بحال بحال,"The correct word is atmosphere, not air, but something like that."
راني كنت دورت على علا سميتك,I was wondering about your name.
لمهم بنعامو داز,It is important to know the
بلا ماتشري لمونادا,Please do not buy lemonade.
"سير, تبرّع معا راسك!","Sir, please donate your head!"
مانضنش غادي تبدل فيك هاد القاعدة,I don't think you'll change that rule.
ڭلس معا راسك وفكر,Sit down and think.
كايعجبك تخدم مع فرقة صغيرة أولا شي صاحبك أولا بزّاف ديال نعاسّ ?,Do you prefer to work with a small team or a friend or a large group?
بلا ماتبدّل تليفون.,Please change your phone.
البرودوي معجنبيش,Broadway is not open
ردي البال لراسك,Take care of yourself.
لواحد لي يقا مسج ومايجاوب,Someone who is well-informed and answers
الراتب كيمشيو على حساب الشهر,The salary is calculated on a monthly basis.
عمرك جربتي طراج هاد المدة,Have you tried cycling lately?
أنا متخصص في علم الطيور,I am an ornithologist
مابغيتيش ت بلوكي ساحبك واخا تخاسمو حيت كاترجعو تسالحو,"You don't want to be blocked by a car, so you can swear to it by going back to the car."
نتي هيا لي كتبان بلي متوترة ديال بصح.,This one looks really stressed.
نتحداك ت ودّح ليا كيفاش كاتدي هاد لفلوسّ كاملين,I challenge you to show me how you can keep this money intact.
بغيت نشارجيركسيو,I want to get a taxi.
زعما مافراسك مايتعاود,Your horse is supposed to be coming back.
دور علّيمن,Turn to the right
تايبانو ليا شين أس تماك,I think Shane is there.
مازال ماعرفنا واش دار العقد,We don't know yet if the contract is signed.
موافرين لولاشهوم كلشي,Available for all ages
بلا ماتدخل ل هاد لبلاصة,Do not enter this place.
واقيلا راه هيت مو,I think it is hot.
سيدت بزّاف ديال لحوت,"Ladies, lots of fish."
واش كيعجبك البحر؟,Do you like the sea?
عينك ميزانك,Check your balance.
أما واحد المدابزة نادت فالمدرسة بزّ فرقناها,One of the girls called the school and we separated her.
كانهس براسي مخنوقة,I feel suffocated
هانا ڭلتها ليك,I made it for you.
ماتزعميكس نسافرو,We are not supposed to travel.
وا هوما ڭاع ڭدّو إتنيو لفرشيطة ديالي,And now they're adding two to my portfolio.
واش غانبقاو حنا ديما هكا؟,Are we always going to be like this?
بلا ما تبدل هاد ل ڤيدو,Please do not change this to video
ماعرفتش اش ندير دخت,I don't know how to do a bath.
عاد لقيتيني غانعيط ليك,I'll call you back.
كانبيع الحوالة و البغر فالعيد الكبير,I sell sweets and biscuits for the big day.
خلاتني المرا,My wife left me.
الخضرا غالية,Vegetables are expensive
ماعندي مانقول,I have nothing to say.
راه صعيب عليه هاد الدوا باقي صغير,It's hard for him. He's too young for this medicine.
واحدتك نشري ليك موتور إيلا جبتي مسيان فالباك وهاهوا,I'll buy you a motorcycle if you bring two bags of money.
العيشة فيها بسيطة وزوينة,Life is simple and beautiful
سيدة ماكاتنفش,Mrs. McCutcheon is a very nice woman.
حاول ليا الفلوس ديال فلبنكا,Give me the money from the bank.
ساهل توصل ليه,It is easy to reach.
فاش نعاونكوم?,How can I help you?
أش بان ليك فالمبادرة ديال الأكل الصحي لي دخلت فيها الحكومة؟,How do you feel about the government's healthy eating initiative?
كل مرة,Every time
واش مسدود؟,Is it locked?
كانقصد، بالك!,"I mean, seriously!"
عمرك جربتي تأجل شي موعد مهم,Your uncle tried to postpone an important appointment.
كنضن بلي خاصنا فقط نبنيوها,I think we should just build it.
مافياش نعاس,I'm not sleepy
عدل بين ولادك ماتبينش راك كتبغي شي واحد كتر من الخرور,You don't seem to want anyone more than your son.
لا غلاء على مسكين,It is not expensive for a poor person.
مشكل ديال أزمور,Asmodeus problem
ملي تسلف شي واحد وتقو للكريديت,"When you borrow from someone, you pay them back."
سير الناموسية,The law of attraction
دارك زوينة ماخالاه,Your house is beautiful.
غادي يخاصني ندير اجتماع باش ناقشو هادشي,I will have to call a meeting to discuss this.
أجي نديوه يتعالج,Come and get it fixed.
خليني نتلع ف الدروج,Let me go upstairs
شنو داكشي طاليا لوجهك,What is that on your face?
نيتي سافيا من جهتك,You have good intentions.
كاتجهدر معا بنتها,She is working with her daughter
كانتعلم من ناس الكبار,I was taught by older people.
راه هادش عمرو يسالي,This is my left hand.
أتكون هربات غير دابا,I'm leaving now.
خاصك تكون سنتيها,You must be two years old.
فين البيت ديالك؟,Where is your room?
أنا غادي نداويك إنشالله,I will call you if I can.
هي كتشم قدام ناس,She smells in front of people
المرحل مايكون فيه هتا مشكل,The stage at which this occurs is problematic.
صراحة تعامل معايا مزيان,He has been very kind to me.
كانتسنّا فيك ت سمّي ولدك سمية زوينا,I think you named your son after a pretty girl.
علاش ماسافرتيش؟,Why don't you fly?
كنفكر أشنو غادي ندير,I'm thinking about what I'm going to do.
ايخاصني نرجع لدار في الوقت باش نغدى أولا غادي يوقع ليا نوبة أنبقى نسخاف مرة أخرى,I have to get home in time to work or I will have another stroke and be unwell again
علاش خرج من الخدمة؟,Why did he leave the service?
كان كيسحاب ليا غادي يسلفني دوك الفلوس لي باغي,"If I lose, I 'll have to borrow the money I want."
وايلي راها غالية بزاف,But it's too expensive.
طلع تسوڭ توموبيل,The car's engine is running.
سمعني شي انيا نادية,I heard someone calling.
قلبو ماخايبش,His heart is not bad.
مول القهوة جرا عليا مورا ماهرسّت شي كيسان وست لماتش,I had a cup of coffee after I had drunk a few cups and not touched a thing.
خليني نفيق على خاطري,Let me wake up on my own.
راه سفر هوا وباه,It's a good trip.
معرفتش علاش,I don't know why.
هادشي ماشي معقول,This is not possible.
راه رد البال لجداتو,He is taking care of his grandparents.
شحال و أنا مشهي ليس پاستا,How many times I have to eat pasta?
أحسن مادة عندي هي المط,My favorite material is matte.
تحت عليه واحد الحيلا,Below it is a small one.
ماهشوماش عليك أبنتي؟,"Are you all right, my daughter?"
را هاد البلاصة محمية من البوليس,This place is guarded by the police.
ماغاديش نمه ليك,I won't sleep for you.
أنا خليجي,I am a Bayer
تانفكّر واش نقدر نتخشا ف هاد لحفرا,I wonder if I could get in this hole.
سوا,The same
راه قربو يجيو,They're almost here.
ممكن يتقارن,It can be compared
دابا هادي أش غاديري معاها?,Now what do I do with it?
داغيا خارجيه,External area
واخا هكاك، كانشكك أن الصقور كيعجبوهم الفكارن,"Well, I doubt that hawks like to think."
شكران هينت جبتيني لهنا,"Thank you, Hint. You brought me here."
أش هاد المستوى,This level
كولّا مرة,Every time
جيب ليه لهليب,Bring it to the helpline.
أجي نتشاركو ف شيپس.,Let's share some chips.
علاش مابغيتيش تقلب على دكشي لي دايع ليك,Why don't you look at what I left for you?
أندي,Andy
ولبراه فين كنتي,And to see where you've been
شي وريقة ل قنيطرة لايخلّيك,A way to a canopy doesn't bother you.
خاصك تبني راسك من جديد,You need to rebuild your head.
العيشة معاك خسارة,Living with you is a loss
عمرك جربتي تستبعد شي حتمال أو سدق هو نيت لي كاين,Your age is the age at which you can exclude a parent or guardian from your child's life.
سمعت بلي الخبز ماشي مزيان ليهم,I heard that bread is bad for them.
كانتسنّا فيك ت دعم داك لمعمّل,We hope you will support this project.
الأغلبية ديال الناس القدام عنا مكايعرفوش اش اليوم ومغاديش يلاحظو داكشي كيما كان الحال!,Most of our elders don't know what's going on today and they'll never notice it the way it was!
داكشي فاش بغا يشوفك ربي,Then I want to see you.
تعطلي بزّاف باش تحمّل مسؤوليتك,You give me too much to take responsibility for
بغيت نكون إنسان إجابي,I want to be a positive person.
واش بغيتي بلاصة هادا سرجم؟,Would you like to place this window?
سخانة مابغاتش تهبط,His temperature won't go down.
ماجبتش نقطة مزيانة,I don't have a good point.
غادي نجيب ليك القهوة!,I'll get you some coffee.
واش بغيتي شي وجبة خفيفة؟,Would you like a snack?
الاهتمام والرغبة لي المجال الطفولي والشباب,Care and interest in children and youth
فتحت كونت فالبنكة,Open a bank account
مابغيتيش تعيط لدولة يڭادو لڭدرون جيت دارك,You don't want to call the country you're in to ask for help.
إيلا كانو غايجيو بطبيعة الحال,"If they come, of course."
مثالم القراية ديالك,Your reading habits
تعطلي بزّاف باش تستوعب.,It's too heavy for you to handle.
نصيحة ماني ماتاخديهمش,My advice is not to take them.
سير تعاون معاه فرحل,He left with his partner.
هادشي راه واح,That's one.
نتا فين كاين دابا؟,Where is he now?
علاش كايديرو هاكا؟,Why do they say that?
شدّ الصفّ,Pull the line
ماكانحملش,I'm not pregnant
